	f0	f1	f2	f3	f4	f5	f6
0	4	122	123	2	1	1	0
1	4	123	124	3	2	2	0
2	4	124	125	4	3	3	0
3	4	125	126	5	4	4	0
4	4	126	127	6	5	5	0
5	4	127	128	7	6	6	0
6	4	128	129	8	7	7	0
7	4	129	130	9	8	8	0
8	4	130	131	10	9	9	0
9	4	131	132	11	10	10	0
10	4	132	353	243	11	101	0
11	4	353	354	244	243	102	0
12	4	354	355	245	244	103	0
13	4	355	356	246	245	104	0
14	4	356	357	247	246	105	0
15	4	357	358	248	247	106	0
16	4	358	359	249	248	107	0
17	4	359	360	250	249	108	0
18	4	360	361	251	250	109	0
19	4	361	362	252	251	110	0
20	4	362	573	463	252	201	0
21	4	573	574	464	463	202	0
22	4	574	575	465	464	203	0
23	4	575	576	466	465	204	0
24	4	576	577	467	466	205	0
25	4	577	578	468	467	206	0
26	4	578	579	469	468	207	0
27	4	579	580	470	469	208	0
28	4	580	581	471	470	209	0
29	4	581	582	472	471	210	0
