N1	N2	X1	X2
30d6	30d5	2ec9	0
30d7	30d6	2eca	0
30d8	30d7	2ecb	0
30d9	30d8	2ecc	0
30da	30d9	2ecd	0
30db	30da	2ece	0
30dc	30db	2ecf	0
30dd	30dc	2ed0	0
30de	30dd	2ed1	0
30df	30de	2ed2	0
30e0	30df	2ed3	0
30e1	30e0	2ed4	0
30e2	30e1	2ed5	0
30e3	30e2	2ed6	0
30e4	30e3	2ed7	0
30e5	30e4	2ed8	0
30e6	30e5	2ed9	0
30e7	30e6	2eda	0
30e8	30e7	2edb	0
30e9	30e8	2edc	0
30ea	30e9	2edd	0
30eb	30ea	2ede	0
30ec	30eb	2edf	0
30ed	30ec	2ee0	0
1f6d6	1b855	1f3e1	0
1f6d7	1f6d6	1f3e2	0
1f6d8	1f6d7	1f3e3	0
1f6d9	1f6d8	1f3e4	0
1f6da	1f6d9	1f3e5	0
1f6db	1f6da	1f3e6	0
1f6dc	1f6db	1f3e7	0
1f6dd	1f6dc	1f3e8	0
1f6de	1f6dd	1f3e9	0
1f6df	1f6de	1f3ea	0
1f6e0	1f6df	1f3eb	0
1f6e1	1f6e0	1f3ec	0
1f6e2	1f6e1	1f3ed	0
1f6e3	1f6e2	1f3ee	0
1f6e4	1f6e3	1f3ef	0
1f6e5	1f6e4	1f3f0	0
1f6e6	1f6e5	1f3f1	0
1f6e7	1f6e6	1f3f2	0
1f6e8	1f6e7	1f3f3	0
1f6e9	1f6e8	1f3f4	0
1f6ea	1f6e9	1f3f5	0
1f6eb	1f6ea	1f3f6	0
1f6ec	1f6eb	1f3f7	0
1f6ed	1f6ec	1f3f8	0
1f6ee	1f6ed	1f3f9	0
1f6ef	1f6ee	1f3fa	0
1f6f0	1f6ef	1f3fb	0
1f6f1	1f6f0	1f3fc	0
1f6f2	1f6f1	1f3fd	0
1f6f3	1f6f2	1f3fe	0
1f6f4	1f6f3	1f3ff	0
1f6f5	1f6f4	1f400	0
