	f0	f1	f2	f3	f4	f5	f6
0	4	2	13	134	123	2	1
1	4	12	133	134	13	11	1
2	4	3	14	135	124	3	2
3	4	13	134	135	14	12	2
4	4	4	15	136	125	4	3
5	4	14	135	136	15	13	3
6	4	5	16	137	126	5	4
7	4	15	136	137	16	14	4
8	4	6	17	138	127	6	5
9	4	16	137	138	17	15	5
10	4	7	18	139	128	7	6
11	4	17	138	139	18	16	6
12	4	8	19	140	129	8	7
13	4	18	139	140	19	17	7
14	4	9	20	141	130	9	8
15	4	19	140	141	20	18	8
16	4	10	21	142	131	10	9
17	4	20	141	142	21	19	9
18	4	21	142	143	22	20	10
19	4	11	22	143	132	101	10
20	4	13	24	145	134	12	11
21	4	23	144	145	24	21	11
22	4	14	25	146	135	13	12
23	4	24	145	146	25	22	12
24	4	15	26	147	136	14	13
25	4	25	146	147	26	23	13
26	4	16	27	148	137	15	14
27	4	26	147	148	27	24	14
28	4	17	28	149	138	16	15
29	4	27	148	149	28	25	15
30	4	18	29	150	139	17	16
31	4	28	149	150	29	26	16
32	4	19	30	151	140	18	17
33	4	29	150	151	30	27	17
34	4	20	31	152	141	19	18
35	4	30	151	152	31	28	18
36	4	21	32	153	142	20	19
37	4	31	152	153	32	29	19
38	4	32	153	154	33	30	20
39	4	22	33	154	143	111	20
40	4	24	35	156	145	22	21
41	4	34	155	156	35	31	21
42	4	25	36	157	146	23	22
43	4	35	156	157	36	32	22
44	4	26	37	158	147	24	23
45	4	36	157	158	37	33	23
46	4	27	38	159	148	25	24
47	4	37	158	159	38	34	24
48	4	28	39	160	149	26	25
49	4	38	159	160	39	35	25
50	4	29	40	161	150	27	26
51	4	39	160	161	40	36	26
52	4	30	41	162	151	28	27
53	4	40	161	162	41	37	27
54	4	31	42	163	152	29	28
55	4	41	162	163	42	38	28
56	4	32	43	164	153	30	29
57	4	42	163	164	43	39	29
58	4	43	164	165	44	40	30
59	4	33	44	165	154	121	30
60	4	35	46	167	156	32	31
61	4	45	166	167	46	41	31
62	4	36	47	168	157	33	32
63	4	46	167	168	47	42	32
64	4	37	48	169	158	34	33
65	4	47	168	169	48	43	33
66	4	38	49	170	159	35	34
67	4	48	169	170	49	44	34
68	4	39	50	171	160	36	35
69	4	49	170	171	50	45	35
70	4	40	51	172	161	37	36
71	4	50	171	172	51	46	36
72	4	41	52	173	162	38	37
73	4	51	172	173	52	47	37
74	4	42	53	174	163	39	38
75	4	52	173	174	53	48	38
76	4	43	54	175	164	40	39
77	4	53	174	175	54	49	39
78	4	54	175	176	55	50	40
79	4	44	55	176	165	131	40
80	4	46	57	178	167	42	41
81	4	56	177	178	57	51	41
82	4	47	58	179	168	43	42
83	4	57	178	179	58	52	42
84	4	48	59	180	169	44	43
85	4	58	179	180	59	53	43
86	4	49	60	181	170	45	44
87	4	59	180	181	60	54	44
88	4	50	61	182	171	46	45
89	4	60	181	182	61	55	45
90	4	51	62	183	172	47	46
91	4	61	182	183	62	56	46
92	4	52	63	184	173	48	47
93	4	62	183	184	63	57	47
94	4	53	64	185	174	49	48
95	4	63	184	185	64	58	48
96	4	54	65	186	175	50	49
97	4	64	185	186	65	59	49
98	4	65	186	187	66	60	50
99	4	55	66	187	176	141	50
100	4	57	68	189	178	52	51
101	4	67	188	189	68	61	51
102	4	58	69	190	179	53	52
103	4	68	189	190	69	62	52
104	4	59	70	191	180	54	53
105	4	69	190	191	70	63	53
106	4	60	71	192	181	55	54
107	4	70	191	192	71	64	54
108	4	61	72	193	182	56	55
109	4	71	192	193	72	65	55
110	4	62	73	194	183	57	56
111	4	72	193	194	73	66	56
112	4	63	74	195	184	58	57
113	4	73	194	195	74	67	57
114	4	64	75	196	185	59	58
115	4	74	195	196	75	68	58
116	4	65	76	197	186	60	59
117	4	75	196	197	76	69	59
118	4	76	197	198	77	70	60
119	4	66	77	198	187	151	60
120	4	68	79	200	189	62	61
121	4	78	199	200	79	71	61
122	4	69	80	201	190	63	62
123	4	79	200	201	80	72	62
124	4	70	81	202	191	64	63
125	4	80	201	202	81	73	63
126	4	71	82	203	192	65	64
127	4	81	202	203	82	74	64
128	4	72	83	204	193	66	65
129	4	82	203	204	83	75	65
130	4	73	84	205	194	67	66
131	4	83	204	205	84	76	66
132	4	74	85	206	195	68	67
133	4	84	205	206	85	77	67
134	4	75	86	207	196	69	68
135	4	85	206	207	86	78	68
136	4	76	87	208	197	70	69
137	4	86	207	208	87	79	69
138	4	87	208	209	88	80	70
139	4	77	88	209	198	161	70
140	4	79	90	211	200	72	71
141	4	89	210	211	90	81	71
142	4	80	91	212	201	73	72
143	4	90	211	212	91	82	72
144	4	81	92	213	202	74	73
145	4	91	212	213	92	83	73
146	4	82	93	214	203	75	74
147	4	92	213	214	93	84	74
148	4	83	94	215	204	76	75
149	4	93	214	215	94	85	75
150	4	84	95	216	205	77	76
151	4	94	215	216	95	86	76
152	4	85	96	217	206	78	77
153	4	95	216	217	96	87	77
154	4	86	97	218	207	79	78
155	4	96	217	218	97	88	78
156	4	87	98	219	208	80	79
157	4	97	218	219	98	89	79
158	4	98	219	220	99	90	80
159	4	88	99	220	209	171	80
160	4	90	101	222	211	82	81
161	4	100	221	222	101	91	81
162	4	91	102	223	212	83	82
163	4	101	222	223	102	92	82
164	4	92	103	224	213	84	83
165	4	102	223	224	103	93	83
166	4	93	104	225	214	85	84
167	4	103	224	225	104	94	84
168	4	94	105	226	215	86	85
169	4	104	225	226	105	95	85
170	4	95	106	227	216	87	86
171	4	105	226	227	106	96	86
172	4	96	107	228	217	88	87
173	4	106	227	228	107	97	87
174	4	97	108	229	218	89	88
175	4	107	228	229	108	98	88
176	4	98	109	230	219	90	89
177	4	108	229	230	109	99	89
178	4	109	230	231	110	100	90
179	4	99	110	231	220	181	90
180	4	101	112	233	222	92	91
181	4	102	113	234	223	93	92
182	4	103	114	235	224	94	93
183	4	104	115	236	225	95	94
184	4	105	116	237	226	96	95
185	4	106	117	238	227	97	96
186	4	107	118	239	228	98	97
187	4	108	119	240	229	99	98
188	4	109	120	241	230	100	99
189	4	110	121	242	231	191	100
190	4	243	253	363	353	102	101
191	4	22	143	363	253	111	101
192	4	244	254	364	354	103	102
193	4	253	363	364	254	112	102
194	4	245	255	365	355	104	103
195	4	254	364	365	255	113	103
196	4	246	256	366	356	105	104
197	4	255	365	366	256	114	104
198	4	247	257	367	357	106	105
199	4	256	366	367	257	115	105
200	4	248	258	368	358	107	106
201	4	257	367	368	258	116	106
202	4	249	259	369	359	108	107
203	4	258	368	369	259	117	107
204	4	250	260	370	360	109	108
205	4	259	369	370	260	118	108
206	4	251	261	371	361	110	109
207	4	260	370	371	261	119	109
208	4	261	371	372	262	120	110
209	4	252	262	372	362	201	110
210	4	253	263	373	363	112	111
211	4	33	154	373	263	121	111
212	4	254	264	374	364	113	112
213	4	263	373	374	264	122	112
214	4	255	265	375	365	114	113
215	4	264	374	375	265	123	113
216	4	256	266	376	366	115	114
217	4	265	375	376	266	124	114
218	4	257	267	377	367	116	115
219	4	266	376	377	267	125	115
220	4	258	268	378	368	117	116
221	4	267	377	378	268	126	116
222	4	259	269	379	369	118	117
223	4	268	378	379	269	127	117
224	4	260	270	380	370	119	118
225	4	269	379	380	270	128	118
226	4	261	271	381	371	120	119
227	4	270	380	381	271	129	119
228	4	271	381	382	272	130	120
229	4	262	272	382	372	211	120
230	4	263	273	383	373	122	121
231	4	44	165	383	273	131	121
232	4	264	274	384	374	123	122
233	4	273	383	384	274	132	122
234	4	265	275	385	375	124	123
235	4	274	384	385	275	133	123
236	4	266	276	386	376	125	124
237	4	275	385	386	276	134	124
238	4	267	277	387	377	126	125
239	4	276	386	387	277	135	125
240	4	268	278	388	378	127	126
241	4	277	387	388	278	136	126
242	4	269	279	389	379	128	127
243	4	278	388	389	279	137	127
244	4	270	280	390	380	129	128
245	4	279	389	390	280	138	128
246	4	271	281	391	381	130	129
247	4	280	390	391	281	139	129
248	4	281	391	392	282	140	130
249	4	272	282	392	382	221	130
250	4	273	283	393	383	132	131
251	4	55	176	393	283	141	131
252	4	274	284	394	384	133	132
253	4	283	393	394	284	142	132
254	4	275	285	395	385	134	133
255	4	284	394	395	285	143	133
256	4	276	286	396	386	135	134
257	4	285	395	396	286	144	134
258	4	277	287	397	387	136	135
259	4	286	396	397	287	145	135
260	4	278	288	398	388	137	136
261	4	287	397	398	288	146	136
262	4	279	289	399	389	138	137
263	4	288	398	399	289	147	137
264	4	280	290	400	390	139	138
265	4	289	399	400	290	148	138
266	4	281	291	401	391	140	139
267	4	290	400	401	291	149	139
268	4	291	401	402	292	150	140
269	4	282	292	402	392	231	140
270	4	283	293	403	393	142	141
271	4	66	187	403	293	151	141
272	4	284	294	404	394	143	142
273	4	293	403	404	294	152	142
274	4	285	295	405	395	144	143
275	4	294	404	405	295	153	143
276	4	286	296	406	396	145	144
277	4	295	405	406	296	154	144
278	4	287	297	407	397	146	145
279	4	296	406	407	297	155	145
280	4	288	298	408	398	147	146
281	4	297	407	408	298	156	146
282	4	289	299	409	399	148	147
283	4	298	408	409	299	157	147
284	4	290	300	410	400	149	148
285	4	299	409	410	300	158	148
286	4	291	301	411	401	150	149
287	4	300	410	411	301	159	149
