A	B	C	D
1	12	133	122
11	132	133	12
2	13	134	123
12	133	134	13
3	14	135	124
13	134	135	14
4	15	136	125
14	135	136	15
5	16	137	126
15	136	137	16
6	17	138	127
16	137	138	17
7	18	139	128
17	138	139	18
8	19	140	129
18	139	140	19
9	20	141	130
19	140	141	20
20	141	142	21
10	21	142	131
12	23	144	133
22	143	144	23
13	24	145	134
23	144	145	24
14	25	146	135
24	145	146	25
15	26	147	136
25	146	147	26
16	27	148	137
26	147	148	27
17	28	149	138
27	148	149	28
18	29	150	139
28	149	150	29
19	30	151	140
29	150	151	30
20	31	152	141
30	151	152	31
31	152	153	32
21	32	153	142
23	34	155	144
33	154	155	34
24	35	156	145
34	155	156	35
25	36	157	146
35	156	157	36
26	37	158	147
36	157	158	37
27	38	159	148
37	158	159	38
28	39	160	149
38	159	160	39
29	40	161	150
39	160	161	40
30	41	162	151
40	161	162	41
31	42	163	152
41	162	163	42
42	163	164	43
32	43	164	153
34	45	166	155
44	165	166	45
35	46	167	156
45	166	167	46
36	47	168	157
46	167	168	47
37	48	169	158
47	168	169	48
38	49	170	159
48	169	170	49
39	50	171	160
49	170	171	50
40	51	172	161
50	171	172	51
41	52	173	162
51	172	173	52
42	53	174	163
52	173	174	53
53	174	175	54
43	54	175	164
45	56	177	166
55	176	177	56
46	57	178	167
56	177	178	57
47	58	179	168
57	178	179	58
48	59	180	169
58	179	180	59
49	60	181	170
59	180	181	60
50	61	182	171
60	181	182	61
51	62	183	172
61	182	183	62
52	63	184	173
62	183	184	63
53	64	185	174
63	184	185	64
64	185	186	65
54	65	186	175
56	67	188	177
66	187	188	67
57	68	189	178
67	188	189	68
58	69	190	179
68	189	190	69
59	70	191	180
69	190	191	70
60	71	192	181
70	191	192	71
61	72	193	182
71	192	193	72
62	73	194	183
72	193	194	73
63	74	195	184
73	194	195	74
64	75	196	185
74	195	196	75
75	196	197	76
65	76	197	186
67	78	199	188
77	198	199	78
68	79	200	189
78	199	200	79
69	80	201	190
79	200	201	80
70	81	202	191
80	201	202	81
71	82	203	192
81	202	203	82
72	83	204	193
82	203	204	83
73	84	205	194
83	204	205	84
74	85	206	195
84	205	206	85
75	86	207	196
85	206	207	86
86	207	208	87
76	87	208	197
78	89	210	199
88	209	210	89
79	90	211	200
89	210	211	90
80	91	212	201
90	211	212	91
81	92	213	202
91	212	213	92
82	93	214	203
92	213	214	93
83	94	215	204
93	214	215	94
84	95	216	205
94	215	216	95
85	96	217	206
95	216	217	96
86	97	218	207
96	217	218	97
97	218	219	98
87	98	219	208
89	100	221	210
99	220	221	100
90	101	222	211
100	221	222	101
91	102	223	212
101	222	223	102
92	103	224	213
102	223	224	103
93	104	225	214
103	224	225	104
94	105	226	215
104	225	226	105
95	106	227	216
105	226	227	106
96	107	228	217
106	227	228	107
97	108	229	218
107	228	229	108
108	229	230	109
98	109	230	219
100	111	232	221
101	112	233	222
102	113	234	223
103	114	235	224
104	115	236	225
105	116	237	226
106	117	238	227
107	118	239	228
108	119	240	229
109	120	241	230
242	252	362	352
21	142	362	252
243	253	363	353
252	362	363	253
244	254	364	354
253	363	364	254
245	255	365	355
254	364	365	255
246	256	366	356
255	365	366	256
247	257	367	357
256	366	367	257
248	258	368	358
257	367	368	258
249	259	369	359
258	368	369	259
250	260	370	360
259	369	370	260
260	370	371	261
251	261	371	361
252	262	372	362
32	153	372	262
253	263	373	363
262	372	373	263
254	264	374	364
263	373	374	264
255	265	375	365
264	374	375	265
256	266	376	366
265	375	376	266
257	267	377	367
266	376	377	267
258	268	378	368
267	377	378	268
259	269	379	369
268	378	379	269
260	270	380	370
269	379	380	270
270	380	381	271
261	271	381	371
262	272	382	372
43	164	382	272
263	273	383	373
272	382	383	273
264	274	384	374
273	383	384	274
265	275	385	375
274	384	385	275
266	276	386	376
275	385	386	276
267	277	387	377
276	386	387	277
268	278	388	378
277	387	388	278
269	279	389	379
278	388	389	279
270	280	390	380
279	389	390	280
280	390	391	281
271	281	391	381
272	282	392	382
54	175	392	282
273	283	393	383
282	392	393	283
274	284	394	384
283	393	394	284
275	285	395	385
284	394	395	285
276	286	396	386
285	395	396	286
277	287	397	387
286	396	397	287
278	288	398	388
287	397	398	288
279	289	399	389
288	398	399	289
280	290	400	390
289	399	400	290
290	400	401	291
281	291	401	391
282	292	402	392
65	186	402	292
283	293	403	393
292	402	403	293
284	294	404	394
293	403	404	294
285	295	405	395
294	404	405	295
286	296	406	396
295	405	406	296
287	297	407	397
296	406	407	297
288	298	408	398
297	407	408	298
289	299	409	399
298	408	409	299
290	300	410	400
299	409	410	300
300	410	411	301
291	301	411	401
292	302	412	402
76	197	412	302
293	303	413	403
302	412	413	303
294	304	414	404
